iter	Passed	Remaining
509	509	18516	17510	510	18553	17511	511	18597	17512	512	18642	17513	513	18692	17514	514	18737	17515	515	18794	17516	516	18838	17517	517	18891	17518	518	18950	17519	519	19003	17520	520	19060	17521	521	19114	17522	522	19158	17523	523	19207	17524	524	19247	17525	525	19293	17526	526	19340	17527	527	19382	17528	528	19420	17529	529	19470	17530	530	19505	17531	531	19550	17532	532	19592	17533	533	19633	17534	534	19673	17535	535	19718	17536	536	19763	17537	537	19800	17538	538	19841	16539	539	19880	16540	540	19920	16541	541	19965	16542	542	20017	16543	543	20065	16544	544	20108	16545	545	20149	16546	546	20198	16547	547	20246	16548	548	20292	16549	549	20331	16550	550	20373	16551	551	20419	16552	552	20463	16553	553	20507	16554	554	20556	16555	555	20607	16556	556	20647	16557	557	20693	16558	558	20738	16559	559	20785	16560	560	20828	16561	561	20885	16562	562	20930	16563	563	20974	16564	564	21026	16565	565	21077	16566	566	21125	16567	567	21171	16568	568	21215	16569	569	21253	16570	570	21297	16571	571	21341	15572	572	21384	15573	573	21425	15574	574	21474	15575	575	21523	15576	576	21568	15577	577	21605	15578	578	21645	15579	579	21686	15580	580	21721	15581	581	21791	15582	582	21843	15583	583	21894	15584	584	21942	15585	585	22001	15586	586	22049	15587	587	22095	15482
588	22139	15448
589	22187	15418
590	22233	15386
591	22280	15355
592	22320	15319
593	22367	15287
594	22416	15258
595	22461	15225
596	22508	15194
597	22558	15165
598	22602	15131
599	22640	15093
600	22687	15062
601	22730	15027
602	22776	14995
603	22823	14963
604	22865	14928
605	22913	14897
606	22955	14862
607	22995	14826
608	23046	14796
609	23089	14762
610	23137	14730
611	23181	14696
612	23230	14665
613	23340	14673
614	23421	14662
615	23467	14629
616	23514	14596
617	23553	14559
618	23598	14524
619	23651	14496
620	23702	14465
621	23760	14439
622	23825	14417
623	23877	14387
624	23942	14365
625	23991	14333
626	24047	14305
627	24087	14268
628	24129	14232
629	24174	14197
630	24224	14166
631	24263	14128
632	24312	14095
633	24352	14058
634	24390	14019
635	24440	13988
636	24475	13947
637	24515	13909
638	24557	13873
639	24608	13842
640	24649	13805
641	24690	13768
642	24745	13739
643	24785	13701
644	24832	13667
645	24881	13634
646	24925	13598
647	24972	13565
648	25011	13527
649	25052	13489
650	25096	13454
651	25131	13413
652	25169	13374
653	25209	13337
654	25256	13303
655	25302	13268
656	25339	13229
657	25380	13191
658	25427	13157
659	25474	13123
660	25518	13661	661	25567	13054
662	25617	13021
663	25676	12992
664	25725	12959
665	25773	12925
666	25815	12888
667	25859	12852
668	25904	12816
669	25941	12776
670	26002	12749
671	26043	12711
672	26089	12676
673	26135	12641
674	26175	12603
675	26224	12568
676	26264	12531
677	26307	12494
678	26347	12455
679	26393	12420
680	26442	12386
681	26483	12348
682	26528	12312
683	26570	12275
684	26609	12236
685	26653	12200
686	26693	12161
687	26741	12126
688	26786	12091
689	26835	12056
690	26881	12020
691	26932	11987
692	26975	11950
693	27029	11918
694	27085	11886
695	27132	11850
696	27183	11817
697	27256	11792
698	27306	11758
699	27355	11723
700	27402	11688
701	27446	11651
702	27494	11615
703	27543	11580
704	27594	11546
705	27643	11511
706	27690	11475
707	27741	11441
708	27785	11404
709	27834	11368
710	27883	11333
711	27924	11295
712	27963	11256
713	28015	11222
714	28060	11185
715	28098	11145
716	28145	11108
717	28184	11069
718	28227	11032
719	28282	10998
720	28336	10965
721	28388	10930
722	28432	10893
723	28479	10856
724	28522	10818
725	28567	10781
726	28617	10746
727	28656	10706
728	28700	10669
729	28740	10630
730	28792	10595
731	28835	10557
732	28885	10521
733	28929	10483
734	28983	10449
735	29025	10411
736	29066	10372
737	29115	10336
738	29171	10302
739	29218	10265
740	29265	10229
741	29312	10192
742	29358	10154
743	29410	10119
744	29461	10084
745	29509	10047
746	29550	10008
747	29596	9970
748	29637	9931
749	29684	9894
750	29735	9859
751	29781	9821
752	29822	9782
753	29875	9747
754	29923	9710
755	29967	9672
756	30009	9633
757	30055	9595
758	30101	9558
759	30141	9518
760	30183	9479
761	30225	9440
762	30269	9402
763	30318	9365
764	30355	9324
765	30406	9288
766	30451	9250
767	30491	9211
768	30544	9175
769	30582	9134
770	30622	9095
771	30659	9054
772	30696	9014
773	30740	8976
774	30789	8938
775	30840	8902
776	30886	8864
777	30921	8823
778	30959	8783
779	31006	8745
780	31040	8704
781	31076	8663
782	31115	8623
783	31156	8583
784	31201	8545
785	31245	8506
786	31287	8467
787	31328	8428
788	31373	8390
789	31414	8350
790	31456	8311
791	31494	8271
792	31538	8232
793	31583	8194
794	31619	8153
795	31665	8115
796	31711	8077
797	31766	8041
798	31815	8003
799	31860	7965
800	31901	7925
801	31941	7885
802	31978	7845
803	32014	7804
804	32053	7764
805	32088	7723
806	32132	7684
